Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/3/2017 15:44:32,Standar norte plan federal,Colchones calzados ropa fracasa de dos plaza  y comida ,
4/3/2017 15:44:51,Jorge Newbery ,Al encontrarse nuestro terreno como en en pozo y no haber ningún muro de contención ni nada todo el agua se empoza en la vereda y así entra toda por la puerta llegando hasta las habitaciones la más dañada fue una de ellas ya que también cayo agua por el techo y filtro por el piso..y eso trae mucha humedad se arruinó la cama la alfombra la pared etc..espero una respuesta se q no pueden arreglar todo pero aunque sea pido un muro de contención X favor desde ya muchas gracias ,
4/3/2017 15:45:09,San Martin ,Solicito ayuda para refaccion del techo ,
4/3/2017 15:45:20,Juan XXIII,No tenemos luz hace cinco dias ya,
4/3/2017 15:45:25,Pueyrredon,"Se me arruinó toda la ropa, las paredes, cloaca tapada, medidor de gas con perdida, se quemaron lavarropas, heladera, microondas, home theatre, playa station, un celular. Se rompieron, cuna, cama matrimonial, sillón, Renault clio tapado de barro. Se enfermo mi hijo de 9 meses      
A raíz de los problemas sufridos no fui a trabajar, por lo que creo que perdí el presentismo mensual y trimestral. ",
4/3/2017 15:45:25,Abel amaya,Alquilo estoy sola con mis 4 hijos perdí mis camas ropa etc y ahora me piden la casa necesito ayuda trabajo porfavor,
4/3/2017 15:45:33,Pueyrredon,Amoblamiento cocina horno artefactos iluminaria techo machimbre ,
4/3/2017 15:45:44,Saavedra,Goteras en toda las habitaciones de la casa ,
4/3/2017 15:45:53,Roca ,Pérdida total ,
4/3/2017 15:45:55,Roca ,Pérdida total ,
4/3/2017 15:46:31,San cayetano,"Necesitamos camion chupa, retro escavadora y agua potable 
Estamos tapados en barro lodo y agua ",
4/3/2017 15:46:41,Pueyrredon,"Heladeras,  placares,  bajo nessdaa ",
4/3/2017 15:46:44,Jorgue Newbery ,Derrumbe de pasillo la cual salgo a la calle y derrumbe de patio delantero,
4/3/2017 15:46:55,Restinga Ali,Paredes de jarbo mojadas y dobladas en Habitación de dos niñas con antecedentes de problemas respiratorios,
4/3/2017 15:47:10, Abasolo,Se me mojo todo,
4/3/2017 15:47:27,El Atardecer ,Inundacion domiciliaria,
4/3/2017 15:47:33,Juan XXIII,"Heladera, cocina y lavarropas quemados por el agua ",
4/3/2017 15:47:50,Juan XXIII ,Agua y barro dentro y fuera de casa..heladera flotando..lavarropa.😢cloacas rebalsando,
4/3/2017 15:47:58,Pte.Ortiz ,Se desbordó el puente general Belgrano y necesitamos un paredón de contención.,
4/3/2017 15:47:59,Pte.Ortiz ,Se desbordó el puente general Belgrano y necesitamos un paredón de contención.,
4/3/2017 15:48:29,San Cayetano,"Zona del baño afectada,techo y filtraciones de paredes,con mucha mucha humedad.. 
Tengo dos menores de 6 y 3 años... soy soltera y solo vivo con ellos.. muchas gracias",
4/3/2017 15:48:38,Malvinas Argentinas,Anegamiento d pozos ciegos,
4/3/2017 15:48:38,José Fuchs,Filtración de agua en mampostería en entre techo de piso superior,
4/3/2017 15:48:33,Pietrobelli,Me entregaron nailon nada más se me inundó la casa de agua entraba por la parte de atrás salía por la puerta las piezas inundadas de agua y barro..,
4/3/2017 15:49:10,Maximo Abasolo ,Estamos en zona de riesgo la montaña atrás de la casa esta desmoronado. Daños causados fueron perdidas de camas colchones todo lo que es ropero ropas las paredes de madera quedaron completamente arruinados.soy mama sola con mis seis hijos estoy sin trabajo con secundario completo acompañante terapéutico y agente sanitario.busco ayuda donde puedo para la comida y el día a dia,
4/3/2017 15:49:25,Saavedra,Rotura de la conexión de agua en el exterior de la casa (vereda) y caída del poste de la luz y alumbrado sobre cerco. Línea telefónica sin funcionamiento. ,
4/3/2017 15:49:41,Manantial Rosales,Daños instalación eléctrica,
4/3/2017 15:49:43,Loma,Daños en la vivienda ingreso lluvia por el techo pero la calle jamas se inundo ni tuvimos barro imposible salir o pasar  por alem ,
4/3/2017 15:50:13,Barrio estela marri,  Tengo gotera me entro mucha agua  se me mojo toda la ropaa,
4/3/2017 15:50:32,Ext 30 de octubre,Inindados ....colchones ropa de cama ..ropa para ñilos y adultos pañales comida art de limpieza ,
4/3/2017 15:50:35,Pietrobelli.,Techo partido. Paredes con agua. ,
4/3/2017 15:51:04,San cayetano,Prendas muebles y sillón ,
4/3/2017 15:51:08,Las Flores,Ninguno,
4/3/2017 15:51:15,Pueyrredon,Perdida total,
4/3/2017 15:51:16,Abel amaya,"Filtracion por los techos de loza en el 80 % de la casa instalacion electrica  mojada  y lamparas quemadas no se puede largar la corriente y el techo ahun sigue goteando agua.
Necesito membrana asfaltica para cellar la loza por fuera ,cemento ,cal y arena para rehacer el cielo razo que se esta por caer.En esteomento ahun estamos con mis hijos en un comedor que quedo seco,pero el resto hay que arreglar todo la prioridad el tevho y la instalacion nueva por fuera de las paredes con caños de pvc.Agradeceria ayuda por favor esto tirne para mi un costo muy grande .Saludos y espero sus respuestaDNI:23635602",
4/3/2017 15:51:17,Laprida,Perdidas totales me quedé con lo puesto desde ya agradecería la ayuda q me puedan brindar,
4/3/2017 15:51:26,Ceferino,mucha agua entro en mi casa necesito membranapara tapar el techo y durlok q estan x caerse x el agua q entro ,
4/3/2017 15:51:30,San Cayetano, Se nos lleno la casa de agua lodo humedad en las paredes los muebles todo pasaba el agua del patio de  atrás y de la calle un desastre,
4/3/2017 15:52:01,"Presidente Ortiz, Km 5","Filtracion en todas las paredes de la casa, soy la unica que no tiene luz en la cuadra.",
4/3/2017 15:52:03,San Martin,Somiers placard con Ropa,
4/3/2017 15:52:05,Pietrobelli,"Vivo en el cerro y se derrumbo un serco y un arbol ensima de mi casa. Tambien entro agua en el baño y se rompio partes de las paredes, y  por el techo de la habitacion tambien ingreso agua",
4/3/2017 15:52:08,San Martin,Desplazamiento  del Cerro hay casas arriba ,
4/3/2017 15:52:14,Juan XXIII,Perdida total en el interior de la casa,
4/3/2017 15:52:28,Policial 28 vv. Casa 22 Standart Norte,Eléctrico- frizura de techo- se cayo él cielo raso del baño y cerámicos  un calorama- y puerta ensanchada,
4/3/2017 15:52:32,"Std Norte, km 8","Perdidas de cuchetas, colchón heladera, lavarropa, vidrios, placeres, electrodomésticos y demás no tan necesarias. Tengo el patio lleno de lodo que con más lluvia se me vuelve a meter a la casa. ",
4/3/2017 15:52:41,Laprida,"Sin acceso a la vivienda, sin servicios y daños materiales ",
4/3/2017 15:52:51,Bella Vista Oeste,Se inundó el cielo raso e hizo llover la casa.esta todo mojado.y por alrededor de la casa entró también.se necesitaría membrana y chapadur para el cielo raso completo que se está uniendo por el agua y la humedad ,
4/3/2017 15:52:52,Fraccion 15,Techo de chapa y piso en la pieza broto el agua,
4/3/2017 15:52:55,Pueyrredon,"Se rompio puerta de vidrio (por presion del agua). Cama sommier de dos plazas bajo agua. Dos muebles con estanterias y cajones rotos por el agua. Las puertas de las habitaciones y del baño rotas porque el freezer las choco cuando entro todo el agua. Ahora queda ver si funciona la cocina, heladera, freezer y si los placares se salvan.",
4/3/2017 15:53:21,Pueyrredon,"Inundación de más de 30cm de agua dentro de la vivienda. Auto con barro por dentro y fuera, daños en el arranque y posible problemas electricos. Muebles arruinados, sillones , aparadores, y demas pérdida de comida y objetos varios ,  jardín destruido, contaminación por cloacas colapsadas en toda la parte del piso inferior y jardín.",
4/3/2017 15:53:33,Don Bosco,"Mi casa se llevó entera el agua,  estoy en la escuela yapeyu del km8 ",
4/3/2017 15:54:03,Pueyrredon,"2 autos, 1 heladera, 1 microondas, 1 sommier, 1 mueble de melamina, 2 chifonniers, 1 enchufe (zapatilla), 1 secador de pelo, 1 plancha de pelo",
4/3/2017 15:54:04,Juan XXIII,En la casa viven 3 adultos los cuales han perdido todo e incluso las habitaciones que eran de chapa hay que reemplazarlas y hacerlas nuevamente ya que el barro supero los 60 cm,
4/3/2017 15:54:15,FRACCIÓN 14,"LA CASA INUNDADA DE BARRO CON APROXIMADAMENTE UN METRO DE BARRO DENTRO DE MI VIVIENDA, LA CUAL TUVE QUE ABANDONAR PORQUE TENGO UN NIÑO DE 3 AÑOS POR PELIGRO DE ENFERMEDADES Y LOS DAÑOS SON TOTALES. QUEDE CON LO PUESTO.",
4/3/2017 15:54:16,Standard Norte km 8,Ingreso de agua a la vivienda ,
4/3/2017 15:54:18,Centro,Solicito una maquina chica para despejar el talud del cerro detras de la casa. Todavía no tuve daños pero otra lluvia y me entra agua y barro a la casa.,
4/3/2017 15:54:30,Los Olivos ,TECHO DE DURLOC SE ESTA POR CAER ,
4/3/2017 15:54:37,Restinga Ali,Inundacion perdidas de muebles colchones electrodomesticos y automovil inundado,
4/3/2017 15:55:03,Barrio 116 vivienda,Se me cayó el techo de la pieza,
4/3/2017 15:55:07,Ciudadela,Se llovió todo el techo y se me mojo todo,
4/3/2017 15:55:11,Abel Amaya,"Filtración por por el techo 
Rebalsaron las cloacas en el Interior",
4/3/2017 15:55:26,Abel Amaya,"Filtracion por los techos de loza en el 80 % de la casa instalacion electrica  mojada  y lamparas quemadas no se puede largar la corriente y el techo ahun sigue goteando agua.
Necesito membrana asfaltica para cellar la loza por fuera ,cemento ,cal y arena para rehacer el cielo razo que se esta por caer.En este momento aun estamos con mis hijos en un comedor que quedo seco,pero el resto hay que arreglar todo la prioridad :el techo y la instalacion nueva por fuera de las paredes con caños de pvc.Agradeceria ayuda por favor esto tiene para mi un costo muy grande .Saludos y espero su pronta respuesta DNI:23635602",
4/3/2017 15:55:50,Maximo Abasolo,Se callo el techo de dormitorios,
4/3/2017 15:56:13,Pietrobelli,Daños casi todo asistencia ninguna ayuda ,
4/3/2017 15:56:40,Juan XXIII,Materiales muebles pintura manposteria ropa ,
4/3/2017 15:57:07,Prospero Palazzo,"filtracion por aberturas, desprendimiento, inundacion parcial de vivienda, humedad hab planta baja. ",
4/3/2017 15:57:13,Laprida,desbarranco tierra sobre pared de vivienda con hundimiento de una pared de chapa deslizado hacia dentro 50 cm. con ingreso de agua y barro....Solicitó ayuda para un muro contención. ...ya solicitado y aprovado X gobierno.  Das Neves. ..y no cumplido,
4/3/2017 15:57:26,Pueyrredon,Pérdida total  de vivienda por inundación y residuos cloacales Solicitamos maquinas para limpiar la calle...sin respuesta,
4/3/2017 15:57:38,Laprida,"GRIETA DE 3 METROS EN LA ENTRADA DE LA CASA, SIN AGUA",
4/3/2017 15:57:51,Arenales,Derrumbó la casa ,
4/3/2017 15:57:56,Moure,Placar cama y televicion y radio,
4/3/2017 15:58:35,Diadema,"Goteras, ruptura del canaletas de desagüe, ingreso agua x  puerta en mal estado. Falta de desagüe en el patio, por lo que se acumula agua que humedecece paredes.
",
4/3/2017 15:58:38,Pueyrredon,Destrucción total de maquinaria de la fabrica de la panadería y mostrador,
4/3/2017 15:58:58,Bella vista sur,"Tierra para rellenar mi terreno,un colchón de una plaza nada mas",
4/3/2017 15:59:00,Presidente ortiz km5,Se filtro agua en la paredes y mas en la unica habitacion q tenemos para dormir... quedo llena de barro la habitacion,
4/3/2017 15:59:08,Palazzo,Pared durlock debajo ventana. Techo colchón. ,
4/3/2017 15:59:20,Don Bosco,La inundación me llevo la casa entera,
4/3/2017 15:59:35,Pietrobelli,Paredón caído contra la casa / peligro de derrumbe,
4/3/2017 15:59:41,Ciudadela,"Se me rago toda la casa ,la casa esta humedecida y se cayo todo el durloc de la pieza de arriba por favor solicito ayuda urgente ",
4/3/2017 15:59:42,San cayetano,2 placares 1 cama de una plaza 1 heladera 1 modular calzado ropa protones 3 puertas placas ,
4/3/2017 15:59:47,Los Tres Pinos,"- Destrucción total de las cloacas y pozo negro.
- 2 baños inhabilitados.
- Destrucción total de conexión de red agua de 100metros (Medidas de 3/4diamtro las mangueras).
- Daños por alud y acumulamiento de escombros sobre la pared de la vivienda a 1metro de altura 
- Destrucción total de moto Honda modelo 2011, patente HLH253; medio de movilidad muy importante.
- Destrucción total de auto Monza95, Chevrolet.
-Destruccion total de granja. 
-Destruccion total del galpón de alimentos para animales.
-Hormigonera de halbañil.
-herramientas de halbañileria. ",
4/3/2017 15:59:54,Fraacion 14,Perdi la casa completa.. muebles camas frazadas.. colchones heladera cocina freezer.. bajo mesada... ropa. Y la vivienda compleeta,
4/3/2017 16:00:10,Juan XXIII,"VW Gol Power año 2013 5 puertas , Heladera , Lavarropa , Cama matrimonial , dos camas individuales de una plaza , ropa , dos televisores led 32 "" , bajo mesada , mueble televisor comedor , material de estudio , bibliotecario , pisos flotantes en dos piezas , baño completo , cocina , futon, alimentos de bajo mesada , dos estufas , un hogar a gas ",
4/3/2017 16:00:24,Los arenales. ,"Mayormente daños en La calle, en los ingresos al barrio. ",
4/3/2017 16:00:47,Laprida,"Perdida total de muebles y artefactos Del hogar, rupturas de caños de agua y cloaca. La casa es imposible de habitar por razones sanitarias,  el barro es otro inconveniente que sufren los vecinos de la calle bogota barrio laprida, ya que imposibilita la limpieza y permanencia en los hogares",
4/3/2017 16:00:48,La Floresta,"Techo dañado, se me cayó el entretecho de la cocina, desmoronamiento de tierra sobre pared izquierda de la casa",
4/3/2017 16:00:56,Pueyrredon,"60cm de agua. Y lodo afectando las heladeras fricer e instalaciones .paredes de jarbol
",
4/3/2017 16:00:57,La Floresta,Se me mojaron mis colchones cuna de mi bebe de 7 meses perdi heladera muebles ropa mia de mi bebe y marido estoy muy triste todo lo q paso...le agradeceria si me dan una mano ya q estoy alkilando y el unico sueldo q ingresa es el de mi marido y es bajisimo x mes cobra 10 mil pesos y no sabemos como sustentar nuestras perdidas...desde ya muchas gracias,
4/3/2017 16:01:39,San martin,Caida de cuelo razo... membrana para techo... etc (pero está a mi alcance solucionarlo... otros están más necesitados),
4/3/2017 16:01:52,San Cayetano ,Se me cayó el techo de la casa,
4/3/2017 16:02:01,Eva peron,Salida de casa saljon de 2 mt de profundo.piesa con barro y perdidas de bestimenta ,
4/3/2017 16:02:05,Máximo Abásolo ,Agua dentro del dlio entrando por puerta/ventana. Daño tv,
4/3/2017 16:02:09,Standar Norte  km8,Se inundó  la pieza por la pared  y entro por la ventana  de comedor,
4/3/2017 16:02:13,Pietrobelly,Peligro de derrumbe de ni casa sobre cerro,
4/3/2017 16:03:06,El Marquesado km 3,Hundimiento de casa y rajaduras de paredes.,
4/3/2017 16:03:34,San Martin,Inundacion cloacas revalsada barro caida de arboles ,
4/3/2017 16:04:15,Divina Providencia,Lavarropa quemado y dos muebles hechados a perder por el ingreso de agua ,
4/3/2017 16:04:20,San Cayetano,Mucha humedad.mejoramiento del terreno q quedó en desnivel ,
4/3/2017 16:04:31,Laprida,"Perdida total de la vivienda por alud del cerro, necesito asistencia social. Quede atrapada 30 minutos con mi hija, me rescataron familiares, ni vecinal y municipio se acerco a ver como estaba. Necesito asesoramiento urgente. Me encuentro evacuada en casa de mi hermana ",
4/3/2017 16:04:46,Pietrobelli,Rajadura y fisura en el techo goteras y sistema electrico averiado,
4/3/2017 16:05:00,Juan XXIII,mi pero problema fueron las cloacas...se inundo por las rejillas del baño...con materia fecal.barro tipo lodo todo el quincho...humedad...muebles...etc.,
4/3/2017 16:05:13,B°Pietrobelli ,Desplazamiento de terreno. Con peligro de derrumbe. ,
4/3/2017 16:05:30,Km8,"camas , colchón cocina , chapas ropero es de suma urgencia la camas y colchones tengo dos nenes y la cocina ",
4/3/2017 16:06:02,General Mosconi,"No tengo casa usurpo las ex gamela de ypf, tengo una pieza donde se indundo todo con agua de cloaca se levanto todo los caños... Estoy con mi mujer y su nena queria. Alguna vivienda parabpoder vivir dicnamente,yo trabajo y puedo pagarlo gracias",
4/3/2017 16:06:19,Juan XXIII,"Solicitamos asistencia para sacar los 60 cms de barro acumulados en vereda y calle, aunque sea para poder abrir nuestro portón y salira a la calle.
 No tuvimos inconvenientes dentro de la casa, por encontrarse la edificación en alto, pero sí recién hoy lunes pudimos salir y transitar caminando. ",
